client_id,age,gender,location,income,income_frequency,monthly_income,profession,financial_goal,loan_type,principal_amount,interest_rate,loan_term_months,emi,Savings,Housing,Food,Transportation,Utilities,Healthcare,Debt Payments,Entertainment,Miscellaneous,peer_group_id
client_0001,50,Male,"Bellburgh, HI",40400,Monthly,40400,Data Scientist,Debt Repayment,,,,,,10139.02,11259.92,4039.07,4663.94,1445.54,1771.45,6799.47,281.58,0.0,PG_1181
client_0002,40,Female,"Smithport, CO",167700,Annually,14000,Customer Service Representative,Retirement,,,,,,2565.23,4430.57,2046.58,1388.33,864.55,1363.58,1341.17,0.0,0.0,PG_2372
client_0003,46,Male,"East Robert, DC",81700,Monthly,81700,Electrician,Retirement,,,,,,14468.19,21234.73,9077.07,8373.36,4547.36,6153.57,5483.86,4138.9,8222.97,PG_612
client_0004,47,Male,"Port Jesse, WA",52700,Monthly,52700,Plumber,Emergency Fund Building,Mortgage,1642349.13,0.1033,98.0,24880.37,4876.84,15141.36,10001.11,3068.39,4064.09,2517.98,5795.14,2770.24,4464.86,PG_623
client_0005,26,Female,"Greenbury, FM",135400,Monthly,135400,Teacher,Travel,,,,,,42531.74,52304.83,23611.04,11216.83,5735.56,0.0,0.0,0.0,0.0,PG_044
client_0006,59,Female,"West Jenna, ME",55800,Bi-Weekly,120900,Doctor,Home Purchase,,,,,,38147.63,31743.71,21606.67,8396.24,8730.11,3992.18,8283.46,0.0,0.0,PG_1235
client_0007,38,Male,"North Dannytown, DE",69700,Monthly,69700,Truck Driver,Debt Repayment,Credit Card Debt,142353.96,0.0663,,,15448.62,20216.53,8549.2,9389.7,2792.79,2476.98,5063.45,5720.21,42.52,PG_651
client_0008,50,Male,"Tylerburgh, MN",97000,Monthly,97000,Chef,Investment Growth,Mortgage,1955511.18,0.0942,300.0,16976.53,12285.52,39901.14,11132.46,13033.31,4776.3,9326.77,6544.49,0.0,0.0,PG_1256
client_0009,23,Male,"Lake Russellstad, PA",124300,Monthly,124300,Electrician,Emergency Fund Building,Auto Loan,809540.64,0.0713,116.0,9678.06,27598.07,44834.18,22312.28,12752.43,5323.04,4070.4,7409.59,0.0,0.0,PG_083
client_0010,64,Male,"South Jacobmouth, NC",159000,Monthly,159000,Administrative Assistant,Retirement,Credit Card Debt,228617.35,0.0676,,,29627.02,57900.06,30504.75,22189.04,9904.16,8874.97,0.0,0.0,0.0,PG_3042
