peer_group_id,description
PG_001,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Debt Repayment"
PG_002,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Retirement"
PG_003,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Emergency Fund Building"
PG_004,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Travel"
PG_005,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Home Purchase"
PG_006,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Investment Growth"
PG_007,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Education Funding (Child/Self)"
PG_008,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Healthcare Savings"
PG_009,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Early Financial Freedom/FIRE"
PG_010,"Income: $8,759 - $144,500, Age: 17 - 33, State: HI, Goal: Other"
PG_011,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Debt Repayment"
PG_012,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Retirement"
PG_013,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Emergency Fund Building"
PG_014,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Travel"
PG_015,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Home Purchase"
PG_016,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Investment Growth"
PG_017,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Education Funding (Child/Self)"
PG_018,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Healthcare Savings"
PG_019,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Early Financial Freedom/FIRE"
PG_020,"Income: $8,759 - $144,500, Age: 17 - 33, State: CO, Goal: Other"
PG_021,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Debt Repayment"
PG_022,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Retirement"
PG_023,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Emergency Fund Building"
PG_024,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Travel"
PG_025,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Home Purchase"
PG_026,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Investment Growth"
PG_027,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Education Funding (Child/Self)"
PG_028,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Healthcare Savings"
PG_029,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Early Financial Freedom/FIRE"
PG_030,"Income: $8,759 - $144,500, Age: 17 - 33, State: DC, Goal: Other"
PG_031,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Debt Repayment"
PG_032,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Retirement"
PG_033,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Emergency Fund Building"
PG_034,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Travel"
PG_035,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Home Purchase"
PG_036,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Investment Growth"
PG_037,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Education Funding (Child/Self)"
PG_038,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Healthcare Savings"
PG_039,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Early Financial Freedom/FIRE"
PG_040,"Income: $8,759 - $144,500, Age: 17 - 33, State: WA, Goal: Other"
PG_041,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Debt Repayment"
PG_042,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Retirement"
PG_043,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Emergency Fund Building"
PG_044,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Travel"
PG_045,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Home Purchase"
PG_046,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Investment Growth"
PG_047,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Education Funding (Child/Self)"
PG_048,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Healthcare Savings"
PG_049,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Early Financial Freedom/FIRE"
PG_050,"Income: $8,759 - $144,500, Age: 17 - 33, State: FM, Goal: Other"
PG_051,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Debt Repayment"
PG_052,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Retirement"
PG_053,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Emergency Fund Building"
PG_054,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Travel"
PG_055,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Home Purchase"
PG_056,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Investment Growth"
PG_057,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Education Funding (Child/Self)"
PG_058,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Healthcare Savings"
PG_059,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Early Financial Freedom/FIRE"
PG_060,"Income: $8,759 - $144,500, Age: 17 - 33, State: ME, Goal: Other"
PG_061,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Debt Repayment"
PG_062,"Income: $8,759 - $144,500, Age: 17 - 33, State: DE, Goal: Retirement"
